CRA_bin,SPD
6100,0.01
6080,0.327
6060,0.375
6040,0.433
6020,0.521
6000,0.523
5980,0.514
5960,0.467
5940,0.448
5920,0.391
5900,0.382
5880,0.362
5860,0.36
5840,0.354
5820,0.386
5800,0.379
5780,0.424
5760,0.377
5740,0.431
5720,0.428
5700,0.423
5680,0.417
5660,0.389
5640,0.392
5620,0.368
5600,0.311
5580,0.317
5560,0.329
5540,0.33
5520,0.278
5500,0.228
5480,0.16999999999999998
5460,0.133
5440,0.159
5420,0.25
5400,0.34400000000000003
5380,0.37
5360,0.32
5340,0.28500000000000003
5320,0.239
5300,0.265
5280,0.326
5260,0.35
5240,0.457
5220,0.497
5200,0.509
5180,0.487
5160,0.474
5140,0.389
5120,0.319
5100,0.288
5080,0.21
5060,0.167
5040,0.127
5020,0.125
5000,0.113
4980,0.096
4960,0.107
4940,0.137
4920,0.142
4900,0.175
4880,0.248
4860,0.28200000000000003
4840,0.286
4820,0.328
4800,0.378
4780,0.40900000000000003
4760,0.52
4740,0.586
4720,0.776
4700,0.901
4680,1.129
4660,1.202
4640,1.3459999999999999
4620,1.217
4600,1.021
4580,0.946
4560,0.961
4540,1.088
4520,1.137
4500,1.24
4480,1.271
4460,1.33
4440,1.323
4420,1.35
4400,1.237
4380,1.179
4360,1.156
4340,1.029
4320,1.041
4300,0.967
4280,0.894
4260,0.782
4240,0.675
4220,0.585
4200,0.54
4180,0.482
4160,0.5840000000000001
4140,0.67
4120,0.755
4100,0.851
4080,0.9299999999999999
4060,1.014
4040,1.002
4020,1.032
4000,1.009
3980,0.835
3960,0.735
3940,0.665
3920,0.5640000000000001
3900,0.584
3880,0.681
3860,0.758
3840,0.855
3820,0.967
3800,0.956
3780,0.923
3760,0.9219999999999999
3740,0.895
3720,0.868
3700,0.859
3680,0.889
3660,0.94
3640,0.819
3620,0.59
3600,0.457
3580,0.297
3560,0.26
3540,0.244
3520,0.287
3500,0.317
3480,0.321
3460,0.286
3440,0.24
3420,0.228
3400,0.307
3380,0.439
3360,0.554
3340,0.594
3320,0.573
3300,0.492
3280,0.438
3260,0.437
3240,0.565
3220,0.708
3200,0.857
3180,0.782
3160,0.79
3140,0.754
3120,0.768
3100,0.77
3080,0.732
3060,0.733
3040,0.737
3020,0.757
3000,0.844
2980,1.069
2960,1.322
2940,1.568
2920,1.826
2900,1.934
2880,2.151
2860,2.54
2840,2.753
2820,3.106
2800,3.433
2780,3.467
2760,3.371
2740,3.332
2720,3.513
2700,3.807
2680,3.889
2660,3.89
2640,3.88
2620,3.68
2600,3.547
2580,3.54
2560,3.377
2540,3.347
2520,3.403
2500,3.524
2480,3.716
2460,3.794
2440,3.67
2420,3.4779999999999998
2400,3.236
2380,2.818
2360,2.355
2340,1.951
2320,1.694
2300,1.778
2280,1.751
2260,1.811
2240,1.844
2220,1.815
2200,1.526
2180,1.25
2160,0.9319999999999999
2140,0.77
2120,0.771
2100,0.733
