BP,Temp
2164.06,25.99
2374.77,25.52
2532.81,26.80
2585.48,24.51
2638.16,25.67
2685.68,26.30
2770.38,26.17
2939.78,24.48
3109.18,26.26
3193.88,26.44
3278.58,25.16
3363.28,26.51
3447.98,26.47
3541.11,27.20
3659.56,26.37
3778.01,26.41
3896.46,26.24
4074.14,25.91
4133.36,26.93
4488.71,26.78
4607.16,24.94
4722.11,26.01
4826.56,26.56
4931.01,28.03
4983.24,26.17
5035.46,26.88
5087.69,25.73
5139.91,27.33
5244.36,25.77
5348.81,25.68
5432.37,26.42
5536.82,25.81
5641.27,25.86
5745.73,26.48
5797.95,25.41
5850.18,27.14
5902.40,25.59
5954.63,26.62
6059.08,26.25
6163.53,25.67
